Bioguide_ID,Name,Gender,Party,Born,Number_of_House_Terms,Present_Cong115,Present_Cong116,House_Election_Candidate_Vote_Share_2016,House_Election_Candidate_Vote_Share_2018,District,District_Presidential_VoteShare_Dem2016,District_Presidential_VoteShare_GOP2016,District_Density,District_Percent_Female,District_Percent_Male,District_Percent_Senior,District_Median_Age,District_Percent_White,District_Percent_Black,District_Percent_Asian,District_Percent_Hispanic,District_Percent_AmericanIndian,District_Mean_Income,District_Mean_Minus_National_Mean_Income,District_Median_Income,District_Median_Minus_National_Median_Income,District_Unemployment_Rate,DW-Nominate_1,DW-Nominate_2,TBIP_Floor_Speeches,TBIP_Tweets,Standardized_Vote_Ideal_Point,Standardized_Speech_Ideal_Point,Standardized_Tweet_Ideal_Point,Progressive_Caucus_Cong115,NewDems_Caucus_Cong115,BlueDog_Caucus_Cong115,ProblemSolvers_Caucus_Cong115,RSC_Caucus_Cong115,Freedom_Caucus_Cong115,GOP_Leadership_Cong115,DEM_Leadership_Cong115,CommitteeChair_Cong115,TopCommittee_Cong115,Progressive_Caucus_Cong116,NewDems_Caucus_Cong116,BlueDog_Caucus_Cong116,ProblemSolvers_Caucus_Cong116,RSC_Caucus_Cong116,Freedom_Caucus_Cong116,GOP_Leadership_Cong116,DEM_Leadership_Cong116,CommitteeChair_Cong116,TopCommittee_Cong116
A000055,Robert B. Aderholt,M,Republican,1965,12,1,1,89.32151109769501,79.77477496980114,AL-04,17.4,80.4,Pure rural,51.08,48.92,0.62,41.1,86.8,7.4,0.5,6.9,0.5,63030,-29294,47531,-18181,2.4,0.366,0.594,0.258328378200531,0.4707479774951935,0.9656238555908203,0.7165402757221249,1.0829431152516142,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1
A000367,Justin Amash,M,Republican,1980,5,1,1,57.05851279656411,54.420737594130145,MI-03,42.2,51.6,Rural-suburban mix,50.44,49.56,0.6,37.4,82.8,8.3,2.1,8.0,0.3,86599,-5725,64919,-793,3.0,0.279,-0.96,,0.07839632034301758,0.5653459429740906,,-0.04989997770064742,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A000370,Alma Adams,F,Democrat,1946,4,1,1,69.71077496905025,73.0728170295696,NC-12,67.3,29.5,Sparse suburban,50.35,49.65,0.91,34.1,44.9,37.5,5.8,15.9,0.4,88761,-3563,61658,-4054,2.9,-0.469,0.009,-0.35915616154670715,-0.32136404514312744,-1.2060761451721191,-1.4710020656118419,-1.2041343504164594,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
A000371,Pete Aguilar,M,Democrat,1979,3,1,1,57.311659242844506,58.74449985332942,CA-31,57.7,36.6,Dense suburban,50.35,49.65,1.24,34.2,60.5,11.2,8.4,53.5,0.4,89857,-2467,70554,4842,3.3,-0.288,0.13,-0.20018699765205383,-0.2484225630760193,-0.9846565127372742,-0.9078271930419761,-0.9935292653017667,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1
A000372,Rick Allen,M,Republican,1951,3,1,1,60.5570071515368,59.47806091285446,GA-12,40.7,56.9,Pure rural,49.59,50.41,0.84,36.0,58.1,34.3,1.7,6.5,0.1,67288,-25036,50217,-15495,3.2,0.673,0.301,0.5235450863838196,0.5121766328811646,1.0746541023254395,1.6561148584600947,1.2025607216737375,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
A000374,Ralph Abraham,M,Republican,1954,3,1,1,55.03828525575639,66.54193421628428,LA-05,34.1,63.5,Pure rural,50.14,49.86,0.78,38.3,60.6,35.1,0.8,2.7,0.3,60324,-32000,41257,-24455,2.9,0.527,0.301,0.402732789516449,0.376687616109848,0.9927451014518738,1.2281170743222705,0.8113611586736814,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
A000375,Jodey Arrington,M,Republican,1972,2,1,1,80.9598974004834,75.22637819640072,TX-19,23.5,72.5,Rural-suburban mix,50.01,49.99,0.52,33.9,83.6,6.2,1.6,37.4,0.4,72678,-19646,55278,-10434,1.6,0.624,-0.041,0.46672555804252625,0.5806068181991577,1.0120996236801147,1.4548221684243512,1.4001402689339775,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
A000377,Kelly Armstrong,M,Republican,1976,1,0,1,,60.20178395929487,ND-AL,27.7,64.1,Rural-suburban mix,49.07,50.93,0.33,35.5,85.8,2.9,1.4,4.0,5.4,85551,-6773,64577,-1135,1.8,0.429,0.128,0.02748481184244156,0.2961411476135254,1.112224817276001,-0.1012616984610135,0.5787980769728043,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
A000378,Cindy Axne,F,Democrat,1965,1,0,1,,49.304263125243864,IA-03,45.0,48.5,Sparse suburban,50.91,49.09,0.33,37.4,88.2,5.2,3.7,7.2,0.3,88332,-3992,67681,1969,2.9,-0.23,0.596,0.05843796208500862,0.1278838813304901,-0.4674108624458313,0.008395017448026466,0.09298623325262562,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
B000213,Joe Barton,M,Republican,1949,17,1,0,55.80649792760013,,TX-06,41.9,54.2,Dense suburban,51.24,48.76,14.62,35.4,64.2,21.5,5.0,22.9,0.6,90942,3078,71756,9819,3.9,0.528,0.047,0.12561994791030884,0.4678080379962921,0.8617718815803528,0.24639844766815924,1.074454581829322,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
